Date,SF,SF_lo,SF_hi,FF,FF_lo,FF_hi,FG,FG_lo,FG_hi,GP,GP_lo,GP_hi,LAB,LAB_lo,LAB_hi,SD,SD_lo,SD_hi,SPBP,SPBP_lo,SPBP_hi,AU,AU_lo,AU_hi,OTH,OTH_lo,OTH_hi
04/03/2020,0.27803608,0.259171505,0.297936113,0.194389533,0.167856806,0.219862354,0.255638961,0.231024063,0.279275116,0.063826961,0.048114292,0.079284734,0.037959565,0.028636799,0.046730461,0.028559851,0.021935173,0.035320028,0.026536075,0.020710879,0.033796821,0.01606706,0.011469629,0.02048994,0.098985914,0.077568071,0.122733696
05/03/2020,0.278298726,0.259242821,0.298581986,0.19520591,0.168748431,0.221939887,0.257929671,0.232465056,0.282433428,0.063557805,0.048141632,0.07886114,0.037818518,0.028419535,0.046620024,0.028432592,0.021789176,0.035515395,0.026312192,0.020284176,0.033593112,0.016005655,0.011161696,0.020605319,0.096438931,0.075833856,0.120128239
06/03/2020,0.278536337,0.259708547,0.299003197,0.196027651,0.168139784,0.222476454,0.260239546,0.234528408,0.285242808,0.063221486,0.047676475,0.07905435,0.03772274,0.028407891,0.046472122,0.028251648,0.021521505,0.035317808,0.026065209,0.020094022,0.033496551,0.015944236,0.011046574,0.020461999,0.093991147,0.073229433,0.117338165
07/03/2020,0.278704007,0.260059348,0.29899815,0.196670165,0.169182493,0.22344982,0.262658791,0.237640422,0.287441999,0.062951457,0.047127831,0.079086059,0.037597742,0.028406135,0.046546717,0.028054447,0.021256735,0.035283155,0.025826549,0.019823591,0.03341761,0.015884147,0.010858544,0.02066161,0.091652695,0.071150862,0.114288832
08/03/2020,0.278958231,0.260243501,0.299323912,0.197330864,0.168642974,0.224438979,0.265132124,0.239459521,0.291064547,0.062574905,0.046448556,0.079045688,0.037453264,0.028286938,0.046119091,0.027918354,0.020948442,0.035148006,0.025580617,0.019684164,0.032754219,0.015795578,0.010806553,0.020581412,0.089256063,0.069446363,0.111635949
09/03/2020,0.27918337,0.260149482,0.299678556,0.198062234,0.169918447,0.225319602,0.267442189,0.242351037,0.293873299,0.062186923,0.046359661,0.078112182,0.037304077,0.027889655,0.04628846,0.027741025,0.020712055,0.034968896,0.025366845,0.019335495,0.032417566,0.015736584,0.010770546,0.020699466,0.086976753,0.066964322,0.108629965
10/03/2020,0.279346761,0.260219387,0.299259114,0.198822955,0.170266105,0.225407103,0.26969527,0.244194941,0.296080204,0.061808964,0.046193588,0.078058215,0.037144665,0.027564788,0.046232019,0.027548564,0.020650292,0.0347376,0.025155375,0.01922772,0.032009119,0.015677658,0.010547543,0.020822656,0.084799789,0.065032882,0.107067012
11/03/2020,0.279484172,0.259843097,0.299300273,0.199422059,0.171068056,0.226107629,0.272244451,0.246867308,0.299331189,0.061483,0.045871466,0.078173703,0.037018415,0.027744183,0.046089646,0.027343652,0.020358647,0.034618527,0.024921008,0.018932592,0.031754586,0.01561083,0.010364114,0.020638623,0.082472412,0.063130701,0.103759545
12/03/2020,0.279550364,0.259682839,0.299976804,0.200179998,0.17147492,0.227257905,0.274621656,0.249474869,0.301454265,0.06109459,0.045452196,0.077489072,0.036856204,0.027553964,0.04617475,0.027132324,0.020015758,0.034475088,0.024680152,0.018685527,0.031537727,0.015542824,0.010261097,0.020693645,0.080341887,0.061294662,0.101250849
13/03/2020,0.27969101,0.259973527,0.300274113,0.200697137,0.172516462,0.22759531,0.27699298,0.251066528,0.30413779,0.060773662,0.045377007,0.07691322,0.036715455,0.027211747,0.045776609,0.026978604,0.020074651,0.034245853,0.024465804,0.018613108,0.031070292,0.015453976,0.010157639,0.020744262,0.078231371,0.059762562,0.099134783
